rep,method,n,conversion,theta0,theta1,se0,se1,moment_norm
40,Q: densidade incorreta,30000,0.0603,-0.19054200793781856,0.6534087866100032,0.07148762857610083,0.07148762857610082,1.1465655558837216e-10
41,CQ-DML: b e m corretos,30000,0.0627,-0.3739215885416585,-0.06535634797919011,0.06716212112468388,0.06716212112468388,9.123101910898441e-19
41,CQ-DML: apenas m correto,30000,0.0627,-0.3529864816936747,-0.08342061918424158,0.07058444807872669,0.07058444807872669,1.1793851806257657e-19
41,CQ-DML: apenas b correto,30000,0.0627,-0.33621798250944085,-0.08585258930761953,0.05757338569871408,0.057573385698714084,1.5692657618196774e-18
41,CQ-DML: ambos incorretos,30000,0.0627,0.7060592675078948,-0.6099091489933784,0.06153023697473952,0.061530236974739506,8.129076947832399e-17
41,Q: densidade correta,30000,0.0627,-0.39632091841604705,-0.03263449535110624,0.07529534942472858,0.07529534942472856,4.896455054106123e-11
41,Q: densidade incorreta,30000,0.0627,-0.26593465828293195,0.8325353367494792,0.07620842153154013,0.07620842153154012,4.780388464119731e-10
42,CQ-DML: b e m corretos,30000,0.0609,-0.2337885967291305,-0.3098061059789069,0.06643320551466364,0.06643320551466364,1.231847499216964e-18
42,CQ-DML: apenas m correto,30000,0.0609,-0.19610598087088774,-0.35371599554535016,0.07021636352142746,0.07021636352142747,4.131355067147344e-18
42,CQ-DML: apenas b correto,30000,0.0609,-0.23737303776555843,-0.29192701285260425,0.06151107770907734,0.06151107770907734,2.5136865485750254e-18
42,CQ-DML: ambos incorretos,30000,0.0609,0.8534084555965633,-0.8786914840682691,0.07170079949429711,0.07170079949429711,3.125045037051909e-18
42,Q: densidade correta,30000,0.0609,-0.2642266997432608,-0.32035438320053544,0.06499839422080732,0.06499839422080732,4.495972674839094e-10
42,Q: densidade incorreta,30000,0.0609,-0.11545806573793786,0.5507350865470334,0.06520968103589693,0.06520968103589694,1.2909778990853262e-11
43,CQ-DML: b e m corretos,30000,0.058866666666666664,-0.3307670002004354,-0.19632423675085722,0.069424224465304,0.06942422446530401,8.282881855376409e-19
43,CQ-DML: apenas m correto,30000,0.058866666666666664,-0.34117763040306454,-0.17761816469591873,0.07511486793447357,0.07511486793447358,1.2318468369226918e-18
43,CQ-DML: apenas b correto,30000,0.058866666666666664,-0.32551341999970884,-0.20490223272165184,0.06144605145680887,0.06144605145680886,8.69847081374193e-19
43,CQ-DML: ambos incorretos,30000,0.058866666666666664,0.7903511937535743,-0.7941264245094206,0.06925203333020138,0.0692520333302014,1.4313088828510984e-18
43,Q: densidade correta,30000,0.058866666666666664,-0.32399879959515293,-0.20830339465786663,0.06850702519704077,0.06850702519704077,9.44288374667015e-10
43,Q: densidade incorreta,30000,0.058866666666666664,-0.18276127321582947,0.6740010655143958,0.0683068025939802,0.0683068025939802,1.31514316273182e-10
44,CQ-DML: b e m corretos,30000,0.06026666666666667,-0.40535058345101876,-0.12951281703172723,0.07718737975437952,0.07718737975437952,2.179231929751859e-17
44,CQ-DML: apenas m correto,30000,0.06026666666666667,-0.3886375784766393,-0.14603781535085184,0.08358456869324833,0.08358456869324835,4.77860620632407e-19
44,CQ-DML: apenas b correto,30000,0.06026666666666667,-0.3406773706167886,-0.18318461903105485,0.06531074352329534,0.06531074352329533,6.199052457765731e-19
44,CQ-DML: ambos incorretos,30000,0.06026666666666667,0.840368827255466,-0.827456296240458,0.07194808658609853,0.07194808658609853,1.067614216289514e-18
44,Q: densidade correta,30000,0.06026666666666667,-0.3882990824789729,-0.13127442579446705,0.06962895972288516,0.06962895972288517,2.587622210101702e-10
44,Q: densidade incorreta,30000,0.06026666666666667,-0.25155264592011306,0.7358219350903971,0.06911813877477008,0.06911813877477008,8.134997869534853e-10
45,CQ-DML: b e m corretos,30000,0.0586,-0.3224655842739283,-0.16536851564527633,0.06977395682675311,0.06977395682675311,7.722242011160668e-19
45,CQ-DML: apenas m correto,30000,0.0586,-0.2711947886948157,-0.21693102972801262,0.07315920651714848,0.0731592065171485,6.372745204751905e-19
45,CQ-DML: apenas b correto,30000,0.0586,-0.34620403394051463,-0.17753366243232946,0.06110215158869658,0.06110215158869658,1.5862320617917178e-18
45,CQ-DML: ambos incorretos,30000,0.0586,0.7667369119732774,-0.7631972080220571,0.06687709767186929,0.06687709767186929,1.4814924335041498e-18
45,Q: densidade correta,30000,0.0586,-0.347579799850214,-0.15782861916382399,0.06843915283747855,0.06843915283747855,1.48507873522195e-10
45,Q: densidade incorreta,30000,0.0586,-0.22817711534020554,0.7358050504528265,0.06945483365140294,0.06945483365140294,2.691492706231641e-10
46,CQ-DML: b e m corretos,30000,0.060566666666666664,-0.32241517937651515,-0.21495949612705112,0.06532230659655662,0.06532230659655662,1.5187222570437203e-18
46,CQ-DML: apenas m correto,30000,0.060566666666666664,-0.3350789643869191,-0.1927563840696963,0.07010600913991669,0.07010600913991669,9.251069675551001e-19
46,CQ-DML: apenas b correto,30000,0.060566666666666664,-0.33860523187561775,-0.19746181389330555,0.058658377380382584,0.05865837738038259,1.5755632589108703e-18
46,CQ-DML: ambos incorretos,30000,0.060566666666666664,0.721601378773273,-0.7274743686032545,0.06462521972274576,0.06462521972274575,1.0214886811414022e-18
46,Q: densidade correta,30000,0.060566666666666664,-0.306116302839444,-0.21172833366720045,0.06564522898228883,0.06564522898228882,6.274889873988759e-10
46,Q: densidade incorreta,30000,0.060566666666666664,-0.17191486393276753,0.6502443765386169,0.06587081225125131,0.0658708122512513,5.2442343303328356e-11
47,CQ-DML: b e m corretos,30000,0.059333333333333335,-0.35490314542640455,-0.2571113205991646,0.06763238928922742,0.06763238928922741,2.4474843797610575e-18
47,CQ-DML: apenas m correto,30000,0.059333333333333335,-0.37065184442902427,-0.22548678483257845,0.07311846548782305,0.07311846548782304,6.911534648217565e-19
47,CQ-DML: apenas b correto,30000,0.059333333333333335,-0.35130254439342073,-0.2645693498213669,0.060946114168112214,0.0609461141681122,1.2616306429543542e-18
47,CQ-DML: ambos incorretos,30000,0.059333333333333335,0.7211398663282912,-0.819058660275524,0.06848453080287926,0.06848453080287926,8.418767764113204e-16
47,Q: densidade correta,30000,0.059333333333333335,-0.3418275538696027,-0.26165532749924664,0.06813185534878805,0.06813185534878806,1.9018156599394467e-11
